year,month,day,lng,lat
109,5,26,121.531555,25.11648258
109,5,26,121.557625,24.9794703
109,5,26,121.557625,24.9794703
109,5,26,121.5564805,25.04231562
109,5,26,121.5564805,25.04231562
109,5,26,121.5209626,25.09677934
109,5,26,121.5209626,25.09677934
109,5,26,121.5523725,24.99033153
109,5,26,121.5523725,24.99033153
109,5,26,121.5302894,25.06834902
109,5,26,121.5302894,25.06834902
109,5,27,121.5614358,25.0548315
109,5,27,121.5614358,25.0548315
109,5,27,121.5219319,25.04002073
109,5,27,121.5219319,25.04002073
109,5,27,121.5304008,25.02655036
109,5,27,121.5304008,25.02655036
109,5,27,121.5577818,25.00954583
109,5,27,121.5577818,25.00954583
109,5,27,121.5288187,25.0625144
109,5,27,121.5288187,25.0625144
109,5,27,121.4911405,25.13855166
109,5,27,121.4911405,25.13855166
109,5,27,121.5549539,24.9865779
109,5,27,121.5549539,24.9865779
109,5,27,121.5549539,24.9865779
109,5,27,121.5277646,25.11520037
109,5,27,121.5277646,25.11520037
109,5,27,121.5815802,25.05249087
109,5,27,121.5815802,25.05249087
109,5,27,121.5832613,25.06855276
109,5,27,121.5832613,25.06855276
109,5,27,121.4901998,25.02515794
109,5,27,121.4901998,25.02515794
109,5,27,121.4901998,25.02515794
109,5,27,121.5184901,25.06843876
109,5,27,121.5184901,25.06843876
109,5,27,121.5392705,25.06184225
109,5,27,121.5392705,25.06184225
109,5,27,121.5650339,25.08072823
109,5,27,121.5650339,25.08072823
109,5,27,121.5650339,25.08072823
109,5,27,121.5371148,25.06480869
109,5,27,121.5371148,25.06480869
109,5,27,121.5371148,25.06480869
109,5,27,121.4713562,25.12274687
109,5,27,121.4713562,25.12274687
109,5,27,121.5602328,25.0566027
109,5,27,121.5602328,25.0566027
109,5,27,121.531734,25.06197479
109,5,27,121.531734,25.06197479
109,5,27,121.5868697,25.05304833
109,5,27,121.5868697,25.05304833
109,5,27,121.5751784,25.04076036
109,5,27,121.5751784,25.04076036
109,5,27,121.5028037,25.12190336
109,5,27,121.5028037,25.12190336
109,5,27,121.5277917,25.05791397
109,5,27,121.5277917,25.05791397
109,5,27,121.5530272,25.03804638
109,5,27,121.5530272,25.03804638
109,5,27,121.5432831,25.02151966
109,5,27,121.5432831,25.02151966
109,5,27,121.5217627,25.09475097
109,5,27,121.5217627,25.09475097
109,5,27,121.5098635,25.08672189
109,5,27,121.5098635,25.08672189
109,5,27,121.5413289,25.04439934
109,5,27,121.5413289,25.04439934
109,5,27,121.5413289,25.04439934
109,5,27,121.5072921,25.03799544
109,5,27,121.5072921,25.03799544
109,5,27,121.5250486,25.07679049
109,5,27,121.5250486,25.07679049
109,5,27,121.5391506,25.01264097
109,5,27,121.5391506,25.01264097
109,5,27,121.5489576,25.08284267
109,5,27,121.5489576,25.08284267
109,5,27,121.5330234,25.04548374
109,5,27,121.5330234,25.04548374
109,5,27,121.499576,25.12102973
109,5,27,121.499576,25.12102973
109,5,27,121.4642493,25.12379307
109,5,27,121.4642493,25.12379307
109,5,27,121.5538614,25.085274
109,5,27,121.508139,25.05045809
109,5,27,121.5538614,25.085274
109,5,27,121.508139,25.05045809
109,5,27,121.5538614,25.085274
109,5,27,121.52245,25.11496208
109,5,27,121.52245,25.11496208
109,5,27,121.6061375,25.05425708
109,5,27,121.6061375,25.05425708
109,5,27,121.5793453,25.0378966
109,5,27,121.5793453,25.0378966
109,5,27,121.5633966,25.02819002
109,5,27,121.5633966,25.02819002
109,5,27,121.5368056,25.04461904
109,5,27,121.5368056,25.04461904
109,5,27,121.4983648,25.03369912
109,5,27,121.4983648,25.03369912
109,5,27,121.5407593,25.06223093
109,5,27,121.5407593,25.06223093
109,5,27,121.5173714,25.09143586
109,5,27,121.5173714,25.09143586
109,5,27,121.5030308,25.1330254
109,5,27,121.5030308,25.1330254
109,5,27,121.5405909,25.05720767
109,5,27,121.5405909,25.05720767
109,5,27,121.5407573,25.06108491
109,5,27,121.5407573,25.06108491
109,5,27,121.5156599,25.1162052
109,5,27,121.5156599,25.1162052
109,5,27,121.5648446,25.0419883
